id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
175,2135257569177,1773051311011029073,1773049175753459896,-8308,10988,1
176,2135258566972,1773051311011983753,1773049175753416781,-2205,-43115,1
177,2135259566424,1773051311013090645,1773049175753524221,-548,107440,1
178,2135260576735,1773051311014086392,1773049175753509657,10311,-14564,1
179,2135261568859,1773051311015078516,1773049175753509657,-7876,0,1
180,2135262576896,1773051311016010766,1773049175753433870,8037,-75787,1
181,2135263568175,1773051311017040615,1773049175753472440,-8721,38570,1
182,2135264572853,1773051311018168460,1773049175753595607,4678,123167,1
183,2135265574706,1773051311018977308,1773049175753402602,1853,-193005,1
184,2135266580869,1773051311020085271,1773049175753504402,6163,101800,1
185,2135267587187,1773051311021074574,1773049175753487387,6318,-17015,1
186,2135268577526,1773051311022098561,1773049175753521035,-9661,33648,1
187,2135269586209,1773051311023016001,1773049175753429792,8683,-91243,1
188,2135270577757,1773051311024055275,1773049175753477518,-8452,47726,1
189,2135271582711,1773051311024999023,1773049175753416312,4954,-61206,1
190,2135272576396,1773051311026049103,1773049175753472707,-6315,56395,1
191,2135273581451,1773051311026979938,1773049175753398487,5055,-74220,1
192,2135274572090,1773051311028039092,1773049175753467002,-9361,68515,1
193,2135275579687,1773051311029026726,1773049175753447039,7597,-19963,1
194,2135276569595,1773051311030085651,1773049175753516056,-10092,69017,1
195,2135277578086,1773051311031039599,1773049175753461513,8491,-54543,1
196,2135278569114,1773051311032017941,1773049175753448827,-8972,-12686,1
197,2135279567175,1773051311033002373,1773049175753435198,-1939,-13629,1
198,2135280566301,1773051311033972817,1773049175753406516,-874,-28682,1
199,2135281566106,1773051311034987959,1773049175753421853,-195,15337,1
200,2135282566543,1773051311036098967,1773049175753532424,437,110571,1
201,2135283576962,1773051311037042727,1773049175753465765,10419,-66659,1
202,2135284568670,1773051311038052884,1773049175753484214,-8292,18449,1
203,2135285576611,1773051311039016450,1773049175753439839,7941,-44375,1
204,2135286568039,1773051311039995027,1773049175753426988,-8572,-12851,1
