id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
320,3235451619580,3235451731537,111957,-107997,-117314,1
321,3235452617050,3235452728114,111064,-2530,-893,1
322,3235453619565,3235453734137,114572,2515,3508,1
323,3235454618905,3235454717772,98867,-660,-15705,1
324,3235455619021,3235455737220,118199,116,19332,1
325,3235456619637,3235456715715,96078,616,-22121,1
326,3235457620168,3235457737644,117476,531,21398,1
327,3235459385349,3235460756298,1370949,765181,1253473,1
328,3235460670309,3235460843419,173110,284960,-1197839,1
329,3235461625584,3235461758760,133176,-44725,-39934,1
330,3235462620428,3235462771718,151290,-5156,18114,1
331,3235463621057,3235463728174,107117,629,-44173,1
332,3235464619183,3235464724251,105068,-1874,-2049,1
333,3235465619229,3235465727605,108376,46,3308,1
334,3235466620985,3235466746642,125657,1756,17281,1
335,3235467622244,3235467719398,97154,1259,-28503,1
336,3235468732079,3235468954017,221938,109835,124784,1
337,3235469734530,3235469994415,259885,2451,37947,1
338,3235470760378,3235470981078,220700,25848,-39185,1
339,3235471733911,3235471994279,260368,-26467,39668,1
340,3235472712360,3235472980889,268529,-21551,8161,1
341,3235473725012,3235473982161,257149,12652,-11380,1
342,3235476305563,3235477878988,1573425,1580551,1316276,1
343,3235477595790,3235478019377,423587,290227,-1149838,1
344,3235478713059,3235478950544,237485,117269,-186102,1
345,3235479736083,3235479970648,234565,23024,-2920,1
346,3235480725982,3235480944928,218946,-10101,-15619,1
347,3235481730410,3235481967091,236681,4428,17735,1
348,3235482725688,3235482964914,239226,-4722,2545,1
349,3235483728818,3235483964489,235671,3130,-3555,1
350,3235484713041,3235484954839,241798,-15777,6127,1
351,3235485731522,3235485956300,224778,18481,-17020,1
352,3235486736631,3235487005935,269304,5109,44526,1
353,3235487729324,3235487969658,240334,-7307,-28970,1
354,3235488727219,3235488970942,243723,-2105,3389,1
355,3235489725736,3235489970899,245163,-1483,1440,1
356,3235490729538,3235490953430,223892,3802,-21271,1
357,3235491718788,3235493871350,2152562,-10750,1928670,1
358,3235493781119,3235493953268,172149,1062331,-1980413,1
359,3235494627844,3235494795194,167350,-153275,-4799,1
360,3235495733612,3235495982000,248388,105768,81038,1
361,3235496725008,3235496981721,256713,-8604,8325,1
362,3235497728665,3235497961008,232343,3657,-24370,1
363,3235498660463,3235498923386,262923,-68202,30580,1
364,3235499619034,3235499736878,117844,-41429,-145079,1
365,3235500617769,3235500730609,112840,-1265,-5004,1
366,3235501622546,3235501730960,108414,4777,-4426,1
367,3235502620939,3235502750149,129210,-1607,20796,1
368,3235503621468,3235503750642,129174,529,-36,1
369,3235504620831,3235504714736,93905,-637,-35269,1
370,3235505720504,3235505980730,260226,99673,166321,1
371,3235506714860,3235506978109,263249,-5644,3023,1
372,3235507731505,3235510423724,2692219,16645,2428970,1
373,3235509165381,3235510559100,1393719,433876,-1298500,1
374,3235510384959,3235510757532,372573,219578,-1021146,1
375,3235510643419,3235510832107,188688,-741540,-183885,1
376,3235511630626,3235511815750,185124,-12793,-3564,1
377,3235512739487,3235512980248,240761,108861,55637,1
378,3235513745276,3235514006610,261334,5789,20573,1
379,3235514725200,3235514968690,243490,-20076,-17844,1
380,3235515620558,3235515750500,129942,-104642,-113548,1
381,3235516743157,3235516957522,214365,122599,84423,1
382,3235517619897,3235517748287,128390,-123260,-85975,1
383,3235518622150,3235518748251,126101,2253,-2289,1
384,3235519620581,3235519736049,115468,-1569,-10633,1
385,3235520620558,3235520716115,95557,-23,-19911,1
386,3235521619285,3235521734372,115087,-1273,19530,1
387,3235522620421,3235522746715,126294,1136,11207,1
388,3235523620945,3235523730272,109327,524,-16967,1
389,3235524822272,3235526532867,1710595,201327,1601268,1
390,3235526426491,3235528123352,1696861,604219,-13734,1
391,3235527158392,3235528332673,1174281,-268099,-522580,1
392,3235528081164,3235528394912,313748,-77228,-860533,1
393,3235528626589,3235528765173,138584,-454575,-175164,1
394,3235529696028,3235529977907,281879,69439,143295,1
395,3235530717375,3235530975170,257795,21347,-24084,1
396,3235534011371,3235534143903,132532,2293996,-125263,1
397,3235534617784,3235534721678,103894,-393587,-28638,1
398,3235535615191,3235535715478,100287,-2593,-3607,1
399,3235536620923,3235536710527,89604,5732,-10683,1
400,3235537614473,3235537701941,87468,-6450,-2136,1
401,3235538614075,3235538713738,99663,-398,12195,1
402,3235539614700,3235539694601,79901,625,-19762,1
403,3235540614036,3235540697342,83306,-664,3405,1
404,3235542754555,3235542960545,205990,1140519,122684,1
405,3235544745800,3235544973934,228134,991245,22144,1
406,3235545616308,3235545749313,133005,-129492,-95129,1
407,3235546617399,3235546709639,92240,1091,-40765,1
408,3235547617478,3235547711877,94399,79,2159,1
409,3235548613903,3235548717910,104007,-3575,9608,1
410,3235549614718,3235549695331,80613,815,-23394,1
411,3235550614161,3235550711470,97309,-557,16696,1
412,3235551613609,3235551692355,78746,-552,-18563,1
413,3235552617029,3235552711160,94131,3420,15385,1
414,3235553616361,3235553712416,96055,-668,1924,1
415,3235554614911,3235554697059,82148,-1450,-13907,1
416,3235555615234,3235555686498,71264,323,-10884,1
417,3235556614422,3235556697259,82837,-812,11573,1
418,3235557614942,3235557695536,80594,520,-2243,1
419,3235560858489,3235561037763,179274,2243547,98680,1
420,3235561617744,3235561747646,129902,-240745,-49372,1
421,3235562614638,3235562727918,113280,-3106,-16622,1
422,3235563614609,3235563699492,84883,-29,-28397,1
423,3235564614120,3235564707772,93652,-489,8769,1
424,3235565615257,3235565703774,88517,1137,-5135,1
425,3235566614204,3235566713697,99493,-1053,10976,1
426,3235567616228,3235567696297,80069,2024,-19424,1
427,3235568614093,3235568715680,101587,-2135,21518,1
428,3235569614633,3235569713048,98415,540,-3172,1
429,3235570614748,3235571084493,469745,115,371330,1
430,3235571614880,3235571696587,81707,132,-388038,1
431,3235572614769,3235572693966,79197,-111,-2510,1
432,3235573615122,3235573694972,79850,353,653,1
433,3235577086285,3235577278600,192315,2471163,112465,1
434,3235577616456,3235577726373,109917,-469829,-82398,1
435,3235578617230,3235578739823,122593,774,12676,1
436,3235579617790,3235579720910,103120,560,-19473,1
437,3235580614526,3235580721713,107187,-3264,4067,1
438,3235581614586,3235581734403,119817,60,12630,1
439,3235582614795,3235582719639,104844,209,-14973,1
440,3235583614134,3235583726282,112148,-661,7304,1
441,3235584614984,3235584695678,80694,850,-31454,1
442,3235585614591,3235585715496,100905,-393,20211,1
443,3235586614669,3235586701807,87138,78,-13767,1
444,3235587614211,3235587682016,67805,-458,-19333,1
445,3235588613805,3235588700780,86975,-406,19170,1
446,3235589614625,3235589707015,92390,820,5415,1
447,3235590613738,3235590716836,103098,-887,10708,1
448,3235592788002,3235594302323,1514321,1174264,1411223,1
449,3235594225592,3235594413311,187719,437590,-1326602,1
450,3235594614125,3235594712193,98068,-611467,-89651,1
451,3235595615090,3235595727630,112540,965,14472,1
452,3235596614439,3235596720190,105751,-651,-6789,1
453,3235597614247,3235601028713,3414466,-192,3308715,1
454,3235601012373,3235601144463,132090,2398126,-3282376,1
455,3235601614356,3235601694028,79672,-398017,-52418,1
456,3235602614659,3235602710963,96304,303,16632,1
457,3235603614484,3235603687557,73073,-175,-23231,1
458,3235604613965,3235604710585,96620,-519,23547,1
459,3235605614587,3235605689767,75180,622,-21440,1
460,3235606613842,3235606696372,82530,-745,7350,1
461,3235607614218,3235607688012,73794,376,-8736,1
462,3235609848799,3235610725653,876854,1234581,803060,1
463,3235610618085,3235610835769,217684,-230714,-659170,1
464,3235611616589,3235611719124,102535,-1496,-115149,1
465,3235612615420,3235612703426,88006,-1169,-14529,1
466,3235613613758,3235613709302,95544,-1662,7538,1
467,3235614614949,3235614706038,91089,1191,-4455,1
468,3235615613906,3235615696771,82865,-1043,-8224,1
469,3235616614117,3235616709139,95022,211,12157,1
470,3235617615149,3235617690165,75016,1032,-20006,1
471,3235618614804,3235618703613,88809,-345,13793,1
472,3235619613609,3235619689169,75560,-1195,-13249,1
473,3235620614110,3235620697766,83656,501,8096,1
474,3235621614060,3235621699298,85238,-50,1582,1
475,3235622613690,3235622690278,76588,-370,-8650,1
476,3235623613558,3235623694563,81005,-132,4417,1
477,3235624810956,3235626249570,1438614,197398,1357609,1
478,3235626213144,3235626356324,143180,402188,-1295434,1
479,3235626615997,3235626712999,97002,-597147,-46178,1
480,3235627614473,3235627726860,112387,-1524,15385,1
481,3235628614988,3235628714633,99645,515,-12742,1
482,3235629614471,3235629706922,92451,-517,-7194,1
483,3235630613460,3235630714558,101098,-1011,8647,1
484,3235631614484,3235631705452,90968,1024,-10130,1
485,3235632613877,3235632684322,70445,-607,-20523,1
486,3235633613895,3235633702501,88606,18,18161,1
487,3235634614471,3235634690851,76380,576,-12226,1
488,3235635613874,3235635689657,75783,-597,-597,1
489,3235636614018,3235636704080,90062,144,14279,1
490,3235637613869,3235637680709,66840,-149,-23222,1
491,3235638614371,3235638692162,77791,502,10951,1
492,3235639613807,3235639692240,78433,-564,642,1
493,3235640614717,3235640703943,89226,910,10793,1
494,3235641616355,3235641750352,133997,1638,44771,1
495,3235642615061,3235642723060,107999,-1294,-25998,1
496,3235643614984,3235643714309,99325,-77,-8674,1
497,3235644614647,3235644702730,88083,-337,-11242,1
498,3235645614677,3235645694002,79325,30,-8758,1
499,3235646614752,3235646734096,119344,75,40019,1
500,3235647615129,3235647687415,72286,377,-47058,1
501,3235648614097,3235648685148,71051,-1032,-1235,1
502,3235649614003,3235649700654,86651,-94,15600,1
