id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns
360,1709508645705,1709508721569,75864,344,-2931
361,1709509645577,1709509717159,71582,-128,-4282
362,1709510645383,1709510719970,74587,-194,3005
363,1709511645521,1709511728473,82952,138,8365
364,1709512671604,1709512737190,65586,26083,-17366
365,1709513645098,1709513729017,83919,-26506,18333
366,1709514647121,1709514712897,65776,2023,-18143
367,1709515645898,1709515724978,79080,-1223,13304
368,1709516644975,1709516710740,65765,-923,-13315
369,1709517646119,1709517729311,83192,1144,17427
370,1709518645860,1709518723646,77786,-259,-5406
371,1709519644719,1709519709684,64965,-1141,-12821
372,1709520644854,1709520713330,68476,135,3511
373,1709521645556,1709521708373,62817,702,-5659
374,1709522645199,1709522706525,61326,-357,-1491
375,1709523644937,1709523747205,102268,-262,40942
376,1709524645481,1709524719112,73631,544,-28637
377,1709525645069,1709525736689,91620,-412,17989
378,1709526644893,1709526726924,82031,-176,-9589
379,1709527645494,1709527718353,72859,601,-9172
380,1709528645474,1709528727466,81992,-20,9133
381,1709529646403,1709529726259,79856,929,-2136
382,1709530645410,1709530722334,76924,-993,-2932
383,1709531645443,1709531717623,72180,33,-4744
384,1709532645065,1709532721836,76771,-378,4591
385,1709533644866,1709533731497,86631,-199,9860
386,1709534645741,1709534726283,80542,875,-6089
387,1709535644856,1709535710383,65527,-885,-15015
388,1709536645316,1709536715173,69857,460,4330
389,1709537646013,1709537707264,61251,697,-8606
390,1709538645114,1709538729668,84554,-899,23303
391,1709539645044,1709539730104,85060,-70,506
392,1709540645604,1709540727411,81807,560,-3253
393,1709541644851,1709541717938,73087,-753,-8720
394,1709542644850,1709542729431,84581,-1,11494
395,1709543645568,1709543729887,84319,718,-262
396,1709544645395,1709544716081,70686,-173,-13633
397,1709545645095,1709545717447,72352,-300,1666
398,1709546645723,1709546709789,64066,628,-8286
399,1709547645145,1709547717027,71882,-578,7816
400,1709548646242,1709548712802,66560,1097,-5322
401,1709549645283,1709549714734,69451,-959,2891
402,1709550645368,1709550728922,83554,85,14103
403,1709551645928,1709551724380,78452,560,-5102
404,1709552645473,1709552717008,71535,-455,-6917
405,1709557008917,1709557100695,91778,3363444,20243
406,1709557646619,1709557717755,71136,-362298,-20642
407,1709558645544,1709558718526,72982,-1075,1846
408,1709559645255,1709559711329,66074,-289,-6908
409,1709560645077,1709560718866,73789,-178,7715
410,1709561645826,1709561711000,65174,749,-8615
411,1709562644947,1709562710889,65942,-879,768
412,1709563644962,1709563717947,72985,15,7043
413,1709564645836,1709564729735,83899,874,10914
414,1709565644776,1709565719247,74471,-1060,-9428
415,1709566644803,1709566724573,79770,27,5299
416,1709567646689,1709567727424,80735,1886,965
417,1709568645939,1709568742133,96194,-750,15459
418,1709569645818,1709569720918,75100,-121,-21094
419,1709570644827,1709570707125,62298,-991,-12802
420,1709571644839,1709571732322,87483,12,25185
421,1709572645155,1709572729914,84759,316,-2724
422,1709575008903,1709575083707,74804,1363748,-9955
423,1709575645108,1709575711400,66292,-363795,-8512
424,1709576646661,1709576733335,86674,1553,20382
425,1709577645769,1709577720796,75027,-892,-11647
426,1709578645514,1709578715266,69752,-255,-5275
427,1709579644995,1709579714101,69106,-519,-646
428,1709580645515,1709580737732,92217,520,23111
429,1709581644146,1709581727567,83421,-1369,-8796
430,1709582645002,1709582726862,81860,856,-1561
431,1709583646247,1709583720076,73829,1245,-8031
432,1709584645212,1709584718988,73776,-1035,-53
433,1709585645340,1709585717755,72415,128,-1361
434,1709586646109,1709586722951,76842,769,4427
435,1709587645530,1709587715733,70203,-579,-6639
436,1709588645744,1709588722511,76767,214,6564
437,1709589645945,1709589714368,68423,201,-8344
438,1709590645103,1709590709293,64190,-842,-4233
439,1709591644982,1709591740095,95113,-121,30923
440,1709592646155,1709592719875,73720,1173,-21393
441,1709593645315,1709593711713,66398,-840,-7322
442,1709594645048,1709594716495,71447,-267,5049
443,1709595645736,1709595718872,73136,688,1689
444,1709596645386,1709596720351,74965,-350,1829
445,1709597646090,1709597737724,91634,704,16669
446,1709598646037,1709598719757,73720,-53,-17914
447,1709599645084,1709599718233,73149,-953,-571
448,1709600645778,1709600716627,70849,694,-2300
449,1709601645505,1709601723678,78173,-273,7324
450,1709602645882,1709602726542,80660,377,2487
451,1709603645958,1709603737944,91986,76,11326
452,1709604644925,1709604720128,75203,-1033,-16783
453,1709605645924,1709605726635,80711,999,5508
454,1709606645714,1709606725904,80190,-210,-521
455,1709607646138,1709607717385,71247,424,-8943
456,1709608645956,1709608723788,77832,-182,6585
457,1709609645606,1709609706734,61128,-350,-16704
458,1709610644950,1709610727000,82050,-656,20922
459,1709611645967,1709611721090,75123,1017,-6927
460,1709612645223,1709612710925,65702,-744,-9421
461,1709613645050,1709613733913,88863,-173,23161
462,1709614646023,1709614712132,66109,973,-22754
463,1709615645087,1709615714563,69476,-936,3367
464,1709616646558,1709616722274,75716,1471,6240
465,1709617645387,1709617718650,73263,-1171,-2453
466,1709618645011,1709618726067,81056,-376,7793
467,1709619645688,1709619709118,63430,677,-17626
468,1709620645128,1709620723439,78311,-560,14881
469,1709621646233,1709621727380,81147,1105,2836
470,1709622645515,1709622716073,70558,-718,-10589
471,1709623645656,1709623718030,72374,141,1816
472,1709624646232,1709624715948,69716,576,-2658
473,1709625645724,1709625724824,79100,-508,9384
474,1709626645613,1709626734462,88849,-111,9749
475,1709627646521,1709627723124,76603,908,-12246
476,1709628646012,1709628734135,88123,-509,11520
477,1709629646973,1709629736564,89591,961,1468
478,1709630646289,1709630732603,86314,-684,-3277
479,1709631646415,1709631741056,94641,126,8327
480,1709632645538,1709632725811,80273,-877,-14368
481,1709633645105,1709633758776,113671,-433,33398
482,1709634645960,1709634716225,70265,855,-43406
483,1709635645510,1709635725876,80366,-450,10101
484,1709636645583,1709636728201,82618,73,2252
485,1709637645092,1709637709467,64375,-491,-18243
486,1709638645010,1709638727555,82545,-82,18170
487,1709639645551,1709639714777,69226,541,-13319
488,1709640645594,1709640724613,79019,43,9793
489,1709641645065,1709641729979,84914,-529,5895
490,1709642646007,1709642714082,68075,942,-16839
491,1709643644783,1709643723210,78427,-1224,10352
